X1,X2,X3,Y
-0.4408677804584613,-0.3593386519834466,-0.2683247041665453,-0.17295283374170722
-0.3593386519834466,-0.2683247041665453,-0.17295283374170722,-0.07217929061474959
-0.2683247041665453,-0.17295283374170722,-0.07217929061474959,0.0385022448600687
-0.17295283374170722,-0.07217929061474959,0.0385022448600687,0.16293926142200688
-0.07217929061474959,0.0385022448600687,0.16293926142200688,0.30155523023846986
0.0385022448600687,0.16293926142200688,0.30155523023846986,0.43251250767394867
0.16293926142200688,0.30155523023846986,0.43251250767394867,0.5050128841830779
0.30155523023846986,0.43251250767394867,0.5050128841830779,0.5426030525363721
0.43251250767394867,0.5050128841830779,0.5426030525363721,0.5127614320447291
0.5050128841830779,0.5426030525363721,0.5127614320447291,0.46923161023020565
0.5426030525363721,0.5127614320447291,0.46923161023020565,0.42082486739136216
0.5127614320447291,0.46923161023020565,0.42082486739136216,0.36809640698750545
0.46923161023020565,0.42082486739136216,0.36809640698750545,0.3125566161759603
0.42082486739136216,0.36809640698750545,0.3125566161759603,0.25270551821739295
0.36809640698750545,0.3125566161759603,0.25270551821739295,0.18461638285545368
0.3125566161759603,0.25270551821739295,0.18461638285545368,0.10494471971156805
0.25270551821739295,0.18461638285545368,0.10494471971156805,0.006823277656344606
0.18461638285545368,0.10494471971156805,0.006823277656344606,-0.08915621656119233
0.10494471971156805,0.006823277656344606,-0.08915621656119233,-0.15250274979723633
0.006823277656344606,-0.08915621656119233,-0.15250274979723633,-0.19032606182263279
-0.08915621656119233,-0.15250274979723633,-0.19032606182263279,-0.19008048395700217
-0.15250274979723633,-0.19032606182263279,-0.19008048395700217,-0.17833433150488953
-0.19032606182263279,-0.19008048395700217,-0.17833433150488953,-0.16209613920333676
-0.19008048395700217,-0.17833433150488953,-0.16209613920333676,-0.14165407996033053
-0.17833433150488953,-0.16209613920333676,-0.14165407996033053,-0.11878173277850435
-0.16209613920333676,-0.14165407996033053,-0.11878173277850435,-0.09008442526453386
-0.14165407996033053,-0.11878173277850435,-0.09008442526453386,-0.05887619690072776
-0.11878173277850435,-0.09008442526453386,-0.05887619690072776,-0.022939773215947423
-0.09008442526453386,-0.05887619690072776,-0.022939773215947423,0.02270988757138359
-0.05887619690072776,-0.022939773215947423,0.02270988757138359,0.06854243021301465
-0.022939773215947423,0.02270988757138359,0.06854243021301465,0.1128920679315053
0.02270988757138359,0.06854243021301465,0.1128920679315053,0.12733085949487988
0.06854243021301465,0.1128920679315053,0.12733085949487988,0.11328533933592788
0.1128920679315053,0.12733085949487988,0.11328533933592788,0.07815255797101162
0.12733085949487988,0.11328533933592788,0.07815255797101162,0.03196058271811175
0.11328533933592788,0.07815255797101162,0.03196058271811175,-0.020573128751674052
0.07815255797101162,0.03196058271811175,-0.020573128751674052,-0.07570974929380714
0.03196058271811175,-0.020573128751674052,-0.07570974929380714,-0.1380610297212992
-0.020573128751674052,-0.07570974929380714,-0.1380610297212992,-0.20173491249935727
-0.07570974929380714,-0.1380610297212992,-0.20173491249935727,-0.2678065728545387
-0.1380610297212992,-0.20173491249935727,-0.2678065728545387,-0.3371948075435046
-0.20173491249935727,-0.2678065728545387,-0.3371948075435046,-0.40162728548645166
-0.2678065728545387,-0.3371948075435046,-0.40162728548645166,-0.4717877338339367
-0.3371948075435046,-0.40162728548645166,-0.4717877338339367,-0.494391912683386
-0.40162728548645166,-0.4717877338339367,-0.494391912683386,-0.4853003409276684
-0.4717877338339367,-0.494391912683386,-0.4853003409276684,-0.45948523733842805
-0.494391912683386,-0.4853003409276684,-0.45948523733842805,-0.42420902506418867
-0.4853003409276684,-0.45948523733842805,-0.42420902506418867,-0.3840904455981011
-0.45948523733842805,-0.42420902506418867,-0.3840904455981011,-0.3418637807159053
-0.42420902506418867,-0.3840904455981011,-0.3418637807159053,-0.29527442292805606
-0.3840904455981011,-0.3418637807159053,-0.29527442292805606,-0.24570442127967018
-0.3418637807159053,-0.29527442292805606,-0.24570442127967018,-0.192946539546489
-0.29527442292805606,-0.24570442127967018,-0.192946539546489,-0.13958720991174223
-0.24570442127967018,-0.192946539546489,-0.13958720991174223,-0.09159340036666486
-0.192946539546489,-0.13958720991174223,-0.09159340036666486,-0.04415996502166608
-0.13958720991174223,-0.09159340036666486,-0.04415996502166608,-0.05448422547690179
-0.09159340036666486,-0.04415996502166608,-0.05448422547690179,-0.09569104444587351
-0.04415996502166608,-0.05448422547690179,-0.09569104444587351,-0.15047070957061603
-0.05448422547690179,-0.09569104444587351,-0.15047070957061603,-0.2112592232615097
-0.09569104444587351,-0.15047070957061603,-0.2112592232615097,-0.27469013889349003
-0.15047070957061603,-0.2112592232615097,-0.27469013889349003,-0.3390624254537926
-0.2112592232615097,-0.27469013889349003,-0.3390624254537926,-0.40418771059155667
-0.27469013889349003,-0.3390624254537926,-0.40418771059155667,-0.4707905154051397
-0.3390624254537926,-0.40418771059155667,-0.4707905154051397,-0.5398670532707687
-0.40418771059155667,-0.4707905154051397,-0.5398670532707687,-0.6100440468024995
-0.4707905154051397,-0.5398670532707687,-0.6100440468024995,-0.6789296198399786
-0.5398670532707687,-0.6100440468024995,-0.6789296198399786,-0.7415837598012109
-0.6100440468024995,-0.6789296198399786,-0.7415837598012109,-0.7850224718648041
-0.6789296198399786,-0.7415837598012109,-0.7850224718648041,-0.8129814892660138
-0.7415837598012109,-0.7850224718648041,-0.8129814892660138,-0.8349968323974961
-0.7850224718648041,-0.8129814892660138,-0.8349968323974961,-0.8573707004460492
-0.8129814892660138,-0.8349968323974961,-0.8573707004460492,-0.8795797110587897
-0.8349968323974961,-0.8573707004460492,-0.8795797110587897,-0.9018202483639701
-0.8573707004460492,-0.8795797110587897,-0.9018202483639701,-0.9238573105290023
-0.8795797110587897,-0.9018202483639701,-0.9238573105290023,-0.9461281224247877
-0.9018202483639701,-0.9238573105290023,-0.9461281224247877,-0.9659669569513704
-0.9238573105290023,-0.9461281224247877,-0.9659669569513704,-0.9809097057593346
-0.9461281224247877,-0.9659669569513704,-0.9809097057593346,-0.9937412413795823
-0.9659669569513704,-0.9809097057593346,-0.9937412413795823,-1.0
-0.9809097057593346,-0.9937412413795823,-1.0,-0.9639808721967613
-0.9937412413795823,-1.0,-0.9639808721967613,-0.9158575020975708
-1.0,-0.9639808721967613,-0.9158575020975708,-0.8525792635969642
-0.9639808721967613,-0.9158575020975708,-0.8525792635969642,-0.7836281549265459
-0.9158575020975708,-0.8525792635969642,-0.7836281549265459,-0.7128603797921416
-0.8525792635969642,-0.7836281549265459,-0.7128603797921416,-0.641088421311574
-0.7836281549265459,-0.7128603797921416,-0.641088421311574,-0.5686012919722327
-0.7128603797921416,-0.641088421311574,-0.5686012919722327,-0.4944450010845616
-0.641088421311574,-0.5686012919722327,-0.4944450010845616,-0.42138566033138125
-0.5686012919722327,-0.4944450010845616,-0.42138566033138125,-0.35082100007170125
-0.4944450010845616,-0.42138566033138125,-0.35082100007170125,-0.28373289453287154
-0.42138566033138125,-0.35082100007170125,-0.28373289453287154,-0.22847204082086747
-0.35082100007170125,-0.28373289453287154,-0.22847204082086747,-0.2368745449765931
-0.28373289453287154,-0.22847204082086747,-0.2368745449765931,-0.2632236830964596
-0.22847204082086747,-0.2368745449765931,-0.2632236830964596,-0.30671885327572534
-0.2368745449765931,-0.2632236830964596,-0.30671885327572534,-0.3508483522270369
-0.2632236830964596,-0.30671885327572534,-0.3508483522270369,-0.395398507474934
